RAMO,ID_UR,EJERCICIO,TRIMESTRE,INSTITUCION,AUDITORÍAS_REALIZADAS,OBSERVACIONES_DETERMINADAS
4,I00,2002,20020101/20020331,"CENTRO DE INVESTIGACIÓN Y ASISTENCIA EN TECNOLOGÍA Y DISEÑO DEL ESTADO DE JALISCO, A.C.",2,2
4,I00,2002,20020101/20020331,CENTRO DE INVESTIGACIÓN EN QUÍMICA APLICADA,1,1
4,I00,2002,20020101/20020331,CENTRO DE INVESTIGACIÓN Y SEGURIDAD NACIONAL,2,6
4,I00,2002,20020101/20020331,"CENTRO DE INVESTIGACIÓN EN MATEMÁTICAS, A.C.",1,5
4,I00,2002,20020101/20020331,"CENTRO DE INVESTIGACIÓN Y DOCENCIA ECONÓMICAS, A.C.",5,2
4,I00,2002,20020101/20020331,CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS DEL IPN,5,18
4,I00,2002,20020101/20020331,CENTRO DE ENSEÑANZA TÉCNICA INDUSTRIAL,2,4
4,I00,2002,20020701/20020930,"CENTRO DE INVESTIGACIÓN EN ALIMENTACIÓN Y DESARROLLO, A.C.",4,7
4,I00,2002,20020701/20020930,CENTRO DE INVESTIGACIÓN Y SEGURIDAD NACIONAL,7,13
4,I00,2002,20020701/20020930,CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS DEL IPN,4,8
4,I00,2002,20020701/20020930,"CENTRO DE INVESTIGACIÓN EN MATERIALES AVANZADOS, S.C.",1,3
4,I00,2002,20020701/20020930,CENTRO DE ENSEÑANZA TÉCNICA INDUSTRIAL,2,7
4,I00,2002,20020701/20020930,CENTRO DE INGENIERÍA Y DESARROLLO INDUSTRIAL,6,1
4,I00,2002,20020701/20020930,"CENTRO DE INVESTIGACIÓN CIENTÍFICA DE YUCATÁN, A.C.",2,2
4,I00,2002,20020701/20020930,CENTRO DE INVESTIGACIÓN EN QUÍMICA APLICADA,1,4
4,I00,2002,20020701/20020930,"CENTRO DE INVESTIGACIÓN Y DOCENCIA ECONÓMICAS, A.C.",2,2
4,I00,2002,20020701/20020930,"CENTRO DE INVESTIGACIÓN Y ASISTENCIA EN TECNOLOGÍA Y DISEÑO DEL ESTADO DE JALISCO, A.C.",2,2
4,I00,2002,20020701/20020930,"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California",3,8
4,I00,2002,20021001/20021231,CENTRO DE ENSEÑANZA TÉCNICA INDUSTRIAL,1,2
4,I00,2002,20021001/20021231,"CENTRO DE INVESTIGACIÓN EN MATEMÁTICAS, A.C.",1,0
4,I00,2002,20021001/20021231,"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California",2,1
4,I00,2002,20021001/20021231,CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS DEL IPN,4,3
4,I00,2002,20021001/20021231,"CENTRO DE INVESTIGACIÓN EN ALIMENTACIÓN Y DESARROLLO, A.C.",1,1
4,I00,2002,20021001/20021231,CENTRO DE INGENIERÍA Y DESARROLLO INDUSTRIAL,4,0
4,I00,2002,20021001/20021231,"CENTRO DE INVESTIGACIÓN Y ASISTENCIA EN TECNOLOGÍA Y DISEÑO DEL ESTADO DE JALISCO, A.C.",1,3
4,I00,2002,20021001/20021231,"CENTRO DE INVESTIGACIÓN EN MATERIALES AVANZADOS, S.C.",1,3
4,I00,2002,20021001/20021231,CENTRO DE INVESTIGACIÓN EN QUÍMICA APLICADA,2,0
4,I00,2002,20021001/20021231,CENTRO DE INVESTIGACIÓN Y SEGURIDAD NACIONAL,1,0
4,I00,2002,20021001/20021231,"CENTRO DE INVESTIGACIÓN Y DOCENCIA ECONÓMICAS, A.C.",3,4
4,I00,2002,20021001/20021231,"CENTRO DE INVESTIGACIÓN CIENTÍFICA DE YUCATÁN, A.C.",2,3
4,K00,2002,20020401/20020630,INSTITUTO NACIONAL DE MIGRACIÓN,7,12
4,K00,2002,20020701/20020930,INSTITUTO NACIONAL DE MIGRACIÓN,8,14
4,K00,2002,20020101/20020331,INSTITUTO NACIONAL DE MIGRACIÓN,6,23
4,L00,2002,20020401/20020630,POLICÍA FEDERAL,7,99
4,L00,2002,20020101/20020331,POLICÍA FEDERAL,6,66
4,L00,2002,20020701/20020930,POLICÍA FEDERAL,4,34
4,L00,2002,20021001/20021231,POLICÍA FEDERAL,5,42
6,B00,2002,20020101/20020331,COMISIÓN NACIONAL BANCARIA Y DE VALORES,5,5
6,B00,2002,20020401/20020630,COMISIÓN NACIONAL BANCARIA Y DE VALORES,7,12
6,B00,2002,20020701/20020930,COMISIÓN NACIONAL BANCARIA Y DE VALORES,10,29
6,B00,2002,20021001/20021231,COMISIÓN NACIONAL BANCARIA Y DE VALORES,9,8
6,G0N,2002,20020401/20020630,"BANCO NACIONAL DE COMERCIO INTERIOR, S.N.C.",3,4
6,G0N,2002,20020401/20020630,"BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.",6,5
6,G0N,2002,20020401/20020630,BANCO NACIONAL DE CRÉDITO RURAL S.N.C en Liquidación,8,4
6,G0N,2002,20020101/20020331,"BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.",11,18
6,G0N,2002,20020101/20020331,BANCO NACIONAL DE CRÉDITO RURAL S.N.C en Liquidación,7,17
6,G0N,2002,20020101/20020331,"BANCO NACIONAL DE COMERCIO INTERIOR, S.N.C.",4,10
6,G0N,2002,20020701/20020930,"BANCO NACIONAL DE COMERCIO INTERIOR, S.N.C.",3,6
6,G0N,2002,20020701/20020930,"BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.",5,10
6,G0N,2002,20020701/20020930,BANCO NACIONAL DE CRÉDITO RURAL S.N.C en Liquidación,9,11
6,G0N,2002,20021001/20021231,BANCO NACIONAL DE CRÉDITO RURAL S.N.C en Liquidación,5,1
6,G0N,2002,20021001/20021231,"BANCO NACIONAL DE COMERCIO INTERIOR, S.N.C.",2,3
6,G0N,2002,20021001/20021231,"BANCO NACIONAL DE COMERCIO EXTERIOR, S.N.C.",10,14
6,G1C,2002,20020401/20020630,"BANCO NACIONAL DE OBRAS Y SERVICIOS PÚBLICOS, S.N.C.",5,16
6,G1C,2002,20020101/20020331,"BANCO NACIONAL DE OBRAS Y SERVICIOS PÚBLICOS, S.N.C.",5,7
6,G1C,2002,20020701/20020930,"BANCO NACIONAL DE OBRAS Y SERVICIOS PÚBLICOS, S.N.C.",5,17
6,G1C,2002,20021001/20021231,"BANCO NACIONAL DE OBRAS Y SERVICIOS PÚBLICOS, S.N.C.",3,6
6,G1H,2002,20020401/20020630,"BANCO NACIONAL DEL EJÉRCITO, FUERZA AÉREA Y ARMADA, S.N.C.",6,4
6,G1H,2002,20020101/20020331,"BANCO NACIONAL DEL EJÉRCITO, FUERZA AÉREA Y ARMADA, S.N.C.",8,0
6,G1H,2002,20020701/20020930,"BANCO NACIONAL DEL EJÉRCITO, FUERZA AÉREA Y ARMADA, S.N.C.",6,0
6,G1H,2002,20021001/20021231,"BANCO NACIONAL DEL EJÉRCITO, FUERZA AÉREA Y ARMADA, S.N.C.",11,1
6,G2T,2002,20020401/20020630,CASA DE MONEDA DE MÉXICO,2,8
6,G2T,2002,20020101/20020331,CASA DE MONEDA DE MÉXICO,1,1
6,G2T,2002,20020701/20020930,CASA DE MONEDA DE MÉXICO,2,3
6,G2T,2002,20021001/20021231,CASA DE MONEDA DE MÉXICO,4,6
6,G3A,2002,20020401/20020630,COMISIÓN NACIONAL PARA LA PROTECCIÓN Y LA DEFENSA DE LOS USUARIOS DE SERVICIOS FINANCIEROS,5,2
6,G3A,2002,20020101/20020331,COMISIÓN NACIONAL PARA LA PROTECCIÓN Y LA DEFENSA DE LOS USUARIOS DE SERVICIOS FINANCIEROS,5,0
6,G3A,2002,20020701/20020930,COMISIÓN NACIONAL PARA LA PROTECCIÓN Y LA DEFENSA DE LOS USUARIOS DE SERVICIOS FINANCIEROS,3,5
6,G3A,2002,20021001/20021231,COMISIÓN NACIONAL PARA LA PROTECCIÓN Y LA DEFENSA DE LOS USUARIOS DE SERVICIOS FINANCIEROS,6,1
6,GSA,2002,20020101/20020331,AGENCIA DE SERVICIOS A LA COMERCIALIZACIÓN Y DESARROLLO DE MERCADOS AGROPECUARIOS,6,8
6,GSA,2002,20020101/20020331,"BANCO DE CRÉDITO RURAL PENINSULAR, S.N.C.",4,3
6,GSA,2002,20020401/20020630,"BANCO DE CRÉDITO RURAL DEL ISTMO, S.N.C.",4,3
6,GSA,2002,20020401/20020630,"BANCO DE CRÉDITO RURAL DEL NOROESTE, S.N.C.",5,3
6,GSA,2002,20020401/20020630,"BANCO DE CRÉDITO RURAL DEL NORTE, S.N.C.",4,9
6,GSA,2002,20020401/20020630,"BANCO DE CRÉDITO RURAL DEL NORESTE, S.N.C.",6,5
6,GSA,2002,20020401/20020630,"BANCO DE CRÉDITO RURAL DEL CENTRO NORTE, S.N.C.",5,4
6,GSA,2002,20020401/20020630,"BANCO DE CRÉDITO RURAL DEL CENTRO, S.N.C.",5,11
6,GSA,2002,20020401/20020630,"BANCO DE CRÉDITO RURAL DE OCCIDENTE, S.N.C.",4,9
6,GSA,2002,20020401/20020630,AGENCIA DE SERVICIOS A LA COMERCIALIZACIÓN Y DESARROLLO DE MERCADOS AGROPECUARIOS,10,8
6,GSA,2002,20020401/20020630,"BANCO DE CREDITO RURAL DEL CENTRO SUR, S.N.C.",4,14
6,GSA,2002,20020401/20020630,"BANCO DE CRÉDITO RURAL DEL PACÍFICO SUR, S.N.C.",6,4
6,GSA,2002,20020401/20020630,"BANCO DE CRÉDITO RURAL DEL GOLFO, S.N.C.",6,6
6,GSA,2002,20020401/20020630,"BANCO DE CRÉDITO RURAL PENINSULAR, S.N.C.",2,1
6,GSA,2002,20020401/20020630,"BANCO DE CRÉDITO RURAL DEL PACÍFICO NORTE, S.N.C.",5,15
6,GSA,2002,20020401/20020630,"ASEGURADORA HIDALGO, S.A.",3,0
6,GSA,2002,20020401/20020630,"AGROASEMEX, S.A.",9,16
6,GSA,2002,20020701/20020930,"BANCO DE CRÉDITO RURAL DE OCCIDENTE, S.N.C.",4,4
6,GSA,2002,20020701/20020930,AGENCIA DE SERVICIOS A LA COMERCIALIZACIÓN Y DESARROLLO DE MERCADOS AGROPECUARIOS,11,25
6,GSA,2002,20020701/20020930,"BANCO DE CRÉDITO RURAL PENINSULAR, S.N.C.",5,7
6,GSA,2002,20020101/20020331,"BANCO DE CRÉDITO RURAL DEL PACÍFICO NORTE, S.N.C.",4,2
6,GSA,2002,20020101/20020331,"BANCO DE CREDITO RURAL DEL CENTRO SUR, S.N.C.",3,2
6,GSA,2002,20020101/20020331,"BANCO DE CRÉDITO RURAL DEL NORTE, S.N.C.",5,5
6,GSA,2002,20020101/20020331,"AGROASEMEX, S.A.",12,18
6,GSA,2002,20020101/20020331,"BANCO DE CRÉDITO RURAL DEL CENTRO NORTE, S.N.C.",3,8
6,GSA,2002,20020101/20020331,"BANCO DE CRÉDITO RURAL DEL CENTRO, S.N.C.",3,5
6,GSA,2002,20020101/20020331,"BANCO DE CRÉDITO RURAL DEL NORESTE, S.N.C.",4,14
6,GSA,2002,20020101/20020331,"ASEGURADORA HIDALGO, S.A.",6,6
6,GSA,2002,20020101/20020331,"BANCO DE CRÉDITO RURAL DEL ISTMO, S.N.C.",2,3
6,GSA,2002,20020101/20020331,"BANCO DE CRÉDITO RURAL DEL NOROESTE, S.N.C.",5,9
6,GSA,2002,20020101/20020331,"BANCO DE CRÉDITO RURAL DE OCCIDENTE, S.N.C.",3,6
6,GSA,2002,20020101/20020331,"BANCO DE CRÉDITO RURAL DEL GOLFO, S.N.C.",6,11
6,GSA,2002,20020101/20020331,"BANCO DE CRÉDITO RURAL DEL PACÍFICO SUR, S.N.C.",5,2
6,GSA,2002,20020701/20020930,"BANCO DE CRÉDITO RURAL DEL PACÍFICO NORTE, S.N.C.",6,6
6,GSA,2002,20020701/20020930,"BANCO DE CRÉDITO RURAL DEL NORTE, S.N.C.",3,11
6,GSA,2002,20020701/20020930,"BANCO DE CREDITO RURAL DEL CENTRO SUR, S.N.C.",2,4
6,GSA,2002,20020701/20020930,"BANCO DE CRÉDITO RURAL DEL NORESTE, S.N.C.",4,4
6,GSA,2002,20020701/20020930,"AGROASEMEX, S.A.",10,8
6,GSA,2002,20020701/20020930,"BANCO DE CRÉDITO RURAL DEL ISTMO, S.N.C.",3,8
6,GSA,2002,20020701/20020930,"BANCO DE CRÉDITO RURAL DEL PACÍFICO SUR, S.N.C.",3,1
6,GSA,2002,20020701/20020930,"BANCO DE CRÉDITO RURAL DEL CENTRO NORTE, S.N.C.",6,4
6,GSA,2002,20020701/20020930,"BANCO DE CRÉDITO RURAL DEL NOROESTE, S.N.C.",5,5
6,GSA,2002,20020701/20020930,"BANCO DE CRÉDITO RURAL DEL GOLFO, S.N.C.",3,8
6,GSA,2002,20020701/20020930,"BANCO DE CRÉDITO RURAL DEL CENTRO, S.N.C.",3,5
6,GSA,2002,20021001/20021231,"AGROASEMEX, S.A.",7,1
6,GSA,2002,20021001/20021231,"BANCO DE CRÉDITO RURAL DEL NORESTE, S.N.C.",5,6
6,GSA,2002,20021001/20021231,"BANCO DE CRÉDITO RURAL DEL PACÍFICO NORTE, S.N.C.",3,0
6,GSA,2002,20021001/20021231,"BANCO DE CREDITO RURAL DEL CENTRO SUR, S.N.C.",3,4
6,GSA,2002,20021001/20021231,"BANCO DE CRÉDITO RURAL DEL NOROESTE, S.N.C.",8,8
6,GSA,2002,20021001/20021231,"BANCO DE CRÉDITO RURAL DEL PACÍFICO SUR, S.N.C.",3,3
6,GSA,2002,20021001/20021231,"BANCO DE CRÉDITO RURAL DEL GOLFO, S.N.C.",6,8
6,GSA,2002,20021001/20021231,"BANCO DE CRÉDITO RURAL DEL NORTE, S.N.C.",2,3
6,GSA,2002,20021001/20021231,"BANCO DE CRÉDITO RURAL DEL ISTMO, S.N.C.",3,7
6,GSA,2002,20021001/20021231,"BANCO DE CRÉDITO RURAL DE OCCIDENTE, S.N.C.",4,4
6,GSA,2002,20021001/20021231,"BANCO DE CRÉDITO RURAL PENINSULAR, S.N.C.",3,4
6,GSA,2002,20021001/20021231,"BANCO DE CRÉDITO RURAL DEL CENTRO NORTE, S.N.C.",3,5
6,GSA,2002,20021001/20021231,AGENCIA DE SERVICIOS A LA COMERCIALIZACIÓN Y DESARROLLO DE MERCADOS AGROPECUARIOS,11,24
6,GSA,2002,20021001/20021231,"BANCO DE CRÉDITO RURAL DEL CENTRO, S.N.C.",4,8
6,HBW,2002,20020401/20020630,"FONDO DE GARANTÍA Y FOMENTO PARA LA AGRICULTURA, GANADERÍA Y AVICULTURA",4,54
6,HBW,2002,20020101/20020331,"FONDO DE GARANTÍA Y FOMENTO PARA LA AGRICULTURA, GANADERÍA Y AVICULTURA",6,41
6,HBW,2002,20020701/20020930,"FONDO DE GARANTÍA Y FOMENTO PARA LA AGRICULTURA, GANADERÍA Y AVICULTURA",8,44
6,HBW,2002,20021001/20021231,"FONDO DE GARANTÍA Y FOMENTO PARA LA AGRICULTURA, GANADERÍA Y AVICULTURA",6,5
6,HHN,2002,20020401/20020630,INSTITUTO PARA LA PROTECCIÓN AL AHORRO BANCARIO,5,4
6,HHN,2002,20020101/20020331,INSTITUTO PARA LA PROTECCIÓN AL AHORRO BANCARIO,5,0
6,HHN,2002,20020701/20020930,INSTITUTO PARA LA PROTECCIÓN AL AHORRO BANCARIO,6,14
6,HHN,2002,20021001/20021231,INSTITUTO PARA LA PROTECCIÓN AL AHORRO BANCARIO,3,8
6,HHQ,2002,20020401/20020630,LUZ Y FUERZA DEL CENTRO en Liquidación,16,8
6,HHQ,2002,20020401/20020630,LOTERÍA NACIONAL PARA LA ASISTENCIA PÚBLICA.,4,18
6,HHQ,2002,20020101/20020331,LUZ Y FUERZA DEL CENTRO en Liquidación,15,11
6,HHQ,2002,20020101/20020331,LOTERÍA NACIONAL PARA LA ASISTENCIA PÚBLICA.,2,17
6,HHQ,2002,20020701/20020930,LOTERÍA NACIONAL PARA LA ASISTENCIA PÚBLICA.,4,28
6,HHQ,2002,20020701/20020930,LUZ Y FUERZA DEL CENTRO en Liquidación,11,9
6,HHQ,2002,20021001/20021231,LUZ Y FUERZA DEL CENTRO en Liquidación,15,23
6,HIU,2002,20020401/20020630,"NACIONAL FINANCIERA, S.N.C.",12,56
6,HIU,2002,20020101/20020331,"NACIONAL FINANCIERA, S.N.C.",12,28
6,HIU,2002,20020701/20020930,"NACIONAL FINANCIERA, S.N.C.",17,58
6,HIU,2002,20021001/20021231,"NACIONAL FINANCIERA, S.N.C.",15,48
6,HJO,2002,20020401/20020630,"BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS, S.N.C.",10,14
6,HJO,2002,20020101/20020331,"BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS, S.N.C.",6,6
6,HJO,2002,20020701/20020930,"BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS, S.N.C.",7,4
6,HJO,2002,20021001/20021231,"BANCO DEL AHORRO NACIONAL Y SERVICIOS FINANCIEROS, S.N.C.",7,7
6,HJY,2002,20020401/20020630,PRONÓSTICOS PARA LA ASISTENCIA PÚBLICA,1,9
6,HJY,2002,20020101/20020331,PRONÓSTICOS PARA LA ASISTENCIA PÚBLICA,6,8
6,HJY,2002,20020701/20020930,PRONÓSTICOS PARA LA ASISTENCIA PÚBLICA,3,5
7,HXA,2002,20020401/20020630,INSTITUTO DE SEGURIDAD SOCIAL PARA LAS FUERZAS ARMADAS MEXICANAS,7,7
7,HXA,2002,20020101/20020331,INSTITUTO DE SEGURIDAD SOCIAL PARA LAS FUERZAS ARMADAS MEXICANAS,3,3
7,HXA,2002,20020701/20020930,INSTITUTO DE SEGURIDAD SOCIAL PARA LAS FUERZAS ARMADAS MEXICANAS,5,16
7,HXA,2002,20021001/20021231,INSTITUTO DE SEGURIDAD SOCIAL PARA LAS FUERZAS ARMADAS MEXICANAS,8,4
8,0,2002,20020101/20020331,"SECRETARÍA DE AGRICULTURA, GANADERÍA, DESARROLLO RURAL, PESCA Y ALIMENTACIÓN",6,21
8,0,2002,20020401/20020630,"SECRETARÍA DE AGRICULTURA, GANADERÍA, DESARROLLO RURAL, PESCA Y ALIMENTACIÓN",10,43
8,0,2002,20020701/20020930,"SECRETARÍA DE AGRICULTURA, GANADERÍA, DESARROLLO RURAL, PESCA Y ALIMENTACIÓN",12,31
8,0,2002,20021001/20021231,"SECRETARÍA DE AGRICULTURA, GANADERÍA, DESARROLLO RURAL, PESCA Y ALIMENTACIÓN",7,24
8,I6L,2002,20020401/20020630,FIDEICOMISO DE RIESGO COMPARTIDO,5,9
8,I6L,2002,20020401/20020630,FONDO DE CAPITALIZACIÓN E INVERSIÓN DEL SECTOR RURAL,1,0
8,I6L,2002,20020101/20020331,FIDEICOMISO DE RIESGO COMPARTIDO,6,8
8,I6L,2002,20020101/20020331,FONDO DE CAPITALIZACIÓN E INVERSIÓN DEL SECTOR RURAL,2,8
8,I6L,2002,20020701/20020930,FONDO DE CAPITALIZACIÓN E INVERSIÓN DEL SECTOR RURAL,2,0
8,I6L,2002,20020701/20020930,FIDEICOMISO DE RIESGO COMPARTIDO,5,5
8,I6L,2002,20021001/20021231,FIDEICOMISO DE RIESGO COMPARTIDO,5,3
8,I9H,2002,20020401/20020630,INSTITUTO NACIONAL PARA EL DESARROLLO DE CAPACIDADES DEL SECTOR RURAL A.C.,2,1
8,I9H,2002,20020101/20020331,INSTITUTO NACIONAL PARA EL DESARROLLO DE CAPACIDADES DEL SECTOR RURAL A.C.,2,0
8,I9H,2002,20020701/20020930,INSTITUTO NACIONAL PARA EL DESARROLLO DE CAPACIDADES DEL SECTOR RURAL A.C.,1,2
8,I9H,2002,20021001/20021231,INSTITUTO NACIONAL PARA EL DESARROLLO DE CAPACIDADES DEL SECTOR RURAL A.C.,1,1
8,IZC,2002,20020401/20020630,COLEGIO DE POSTGRADUADOS,5,23
8,IZC,2002,20020101/20020331,COLEGIO DE POSTGRADUADOS,3,3
8,IZC,2002,20020701/20020930,COLEGIO DE POSTGRADUADOS,2,2
8,IZC,2002,20021001/20021231,COLEGIO DE POSTGRADUADOS,2,2
8,JBK,2002,20020401/20020630,PRODUCTORA NACIONAL DE BIOLÓGICOS VETERINARIOS,2,3
8,JBK,2002,20020101/20020331,PRODUCTORA NACIONAL DE BIOLÓGICOS VETERINARIOS,2,5
8,JBK,2002,20020701/20020930,PRODUCTORA NACIONAL DE BIOLÓGICOS VETERINARIOS,1,0
8,JBK,2002,20021001/20021231,PRODUCTORA NACIONAL DE BIOLÓGICOS VETERINARIOS,2,3
8,l6U,2002,20020101/20020331,SERVICIO DE ADMINISTRACIÓN Y ENAJENACIÓN DE BIENES,3,4
8,l6U,2002,20020101/20020331,SECRETARÍA DE LA DEFENSA NACIONAL,9,0
8,l6U,2002,20020101/20020331,SUPERISSSTE,4,11
8,l6U,2002,20020101/20020331,SERVICIO DE ADMINISTRACIÓN DE BIENES ASEGURADOS,1,2
8,l6U,2002,20020101/20020331,TALLERES GRÁFICOS DE MÉXICO,4,23
8,l6U,2002,20020101/20020331,UNIVERSIDAD PEDAGÓGICA NACIONAL,2,1
8,l6U,2002,20020101/20020331,SECRETARÍA DE EDUCACIÓN PÚBLICA,25,30
8,l6U,2002,20020401/20020630,SERVICIO DE ADMINISTRACIÓN DE BIENES ASEGURADOS,1,2
8,l6U,2002,20020401/20020630,"SERVICIOS DE ALMACENAMIENTO DEL NORTE, S.A. DE C.V. en Liquidación",1,9
8,l6U,2002,20020401/20020630,SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO,23,70
8,l6U,2002,20020401/20020630,TELECOMUNICACIONES DE MÉXICO,8,22
8,l6U,2002,20020401/20020630,SUPERISSSTE,14,12
8,l6U,2002,20020401/20020630,SERVICIO DE ADMINISTRACIÓN TRIBUTARIA,38,82
8,l6U,2002,20020401/20020630,"SECRETARÍA DE DESARROLLO AGRARIO, TERRITORIAL Y URBANO",8,11
8,l6U,2002,20020401/20020630,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,2,11
8,l6U,2002,20020401/20020630,SECRETARÍA DE LA FUNCIÓN PÚBLICA,14,46
8,l6U,2002,20020401/20020630,SECRETARÍA DE EDUCACIÓN PÚBLICA,22,23
8,l6U,2002,20020401/20020630,SECRETARÍA DE MARINA,12,0
8,l6U,2002,20020401/20020630,"TELEVISIÓN METROPOLITANA, S.A. DE C.V.",4,7
8,l6U,2002,20020401/20020630,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,4,2
8,l6U,2002,20020401/20020630,TALLERES GRÁFICOS DE MÉXICO,6,9
8,l6U,2002,20020401/20020630,SECRETARÍA DE SEGURIDAD PÚBLICA,4,15
8,l6U,2002,20020401/20020630,UNIVERSIDAD PEDAGÓGICA NACIONAL,4,10
8,l6U,2002,20020401/20020630,"SOCIEDAD HIPOTECARIA FEDERAL, S.N.C.",1,1
8,l6U,2002,20020401/20020630,"SERVICIO NACIONAL DE SANIDAD, INOCUIDAD Y CALIDAD AGROALIMENTARIA",5,22
8,l6U,2002,20020401/20020630,SERVICIO GEOLÓGICO MEXICANO,10,6
8,l6U,2002,20020401/20020630,SERVICIO DE ADMINISTRACIÓN Y ENAJENACIÓN DE BIENES,5,13
8,l6U,2002,20020401/20020630,SERVICIOS A LA NAVEGACIÓN EN EL ESPACIO AÉREO MEXICANO,4,3
8,l6U,2002,20020401/20020630,SECRETARÍA DE LA DEFENSA NACIONAL,6,0
8,l6U,2002,20020401/20020630,SERVICIO POSTAL MEXICANO,11,46
8,l6U,2002,20020401/20020630,SECRETARÍA DE ECONOMÍA,23,48
8,l6U,2002,20020401/20020630,"SERVICIOS AEROPORTUARIOS DE LA CIUDAD DE MÉXICO, S.A. DE C.V.",6,25
8,l6U,2002,20020401/20020630,SECRETARÍA DE SALUD,20,77
8,l6U,2002,20020401/20020630,SECRETARÍA DE RELACIONES EXTERIORES,12,20
8,l6U,2002,20020401/20020630,SECRETARIADO EJECUTIVO DEL SISTEMA NACIONAL DE SEGURIDAD PÚBLICA,1,2
8,l6U,2002,20020401/20020630,SECRETARÍA DE GOBERNACIÓN,23,28
8,l6U,2002,20020401/20020630,SECRETARÍA DE TURISMO,6,10
8,l6U,2002,20020401/20020630,SECRETARÍA DE ENERGÍA,4,7
8,l6U,2002,20020401/20020630,SECRETARÍA DEL TRABAJO Y PREVISIÓN SOCIAL,50,78
8,l6U,2002,20020101/20020331,TELECOMUNICACIONES DE MÉXICO,5,19
8,l6U,2002,20020101/20020331,SECRETARÍA DE ENERGÍA,3,3
8,l6U,2002,20020101/20020331,SECRETARÍA DE LA FUNCIÓN PÚBLICA,20,56
8,l6U,2002,20020101/20020331,SERVICIO DE ADMINISTRACIÓN TRIBUTARIA,13,27
8,l6U,2002,20020101/20020331,"SERVICIOS AEROPORTUARIOS DE LA CIUDAD DE MÉXICO, S.A. DE C.V.",3,15
8,l6U,2002,20020101/20020331,SECRETARÍA DE MEDIO AMBIENTE Y RECURSOS NATURALES,9,41
8,l6U,2002,20020101/20020331,SECRETARÍA DE HACIENDA Y CRÉDITO PÚBLICO,22,76
8,l6U,2002,20020101/20020331,SECRETARÍA DE GOBERNACIÓN,12,21
8,l6U,2002,20020101/20020331,"SERVICIOS DE ALMACENAMIENTO DEL NORTE, S.A. DE C.V. en Liquidación",2,0
